367, 12, 1096, 359, 158, 409
367, 6, -4, 222, 181, 772
368, 12, 1099, 357, 151, 411
368, 6, 0, 254, 215, 712
369, 12, 1094, 360, 158, 406
369, 6, 12, 229, 209, 767
370, 12, 1087, 360, 159, 407
370, 6, 34, 228, 225, 762
371, 12, 1087, 357, 160, 414
371, 6, 45, 239, 230, 743
372, 12, 1082, 356, 157, 415
372, 6, 74, 248, 293, 716
373, 12, 1080, 357, 156, 415
373, 6, 69, 251, 330, 713
374, 12, 1070, 361, 164, 424
374, 6, 80, 251, 312, 721
375, 12, 1076, 361, 149, 421
375, 6, 77, 257, 322, 712
376, 12, 1064, 356, 160, 419
376, 6, 66, 277, 349, 674
377, 12, 1050, 355, 173, 418
377, 6, 147, 284, 294, 649
378, 12, 1049, 354, 172, 420
378, 6, 172, 278, 294, 667
379, 12, 1048, 355, 170, 420
379, 6, 200, 275, 268, 659
380, 12, 1032, 342, 179, 445
380, 6, 299, 284, 183, 645
381, 12, 1042, 346, 158, 453
381, 6, 332, 291, 164, 596
382, 12, 1037, 344, 159, 458
382, 6, 353, 293, 166, 617
383, 12, 1039, 345, 158, 460
383, 6, 361, 293, 186, 616
384, 12, 1018, 358, 169, 433
384, 6, 373, 290, 191, 614
385, 12, 1011, 356, 177, 439
385, 6, 367, 293, 229, 611
386, 12, 1001, 345, 192, 463
386, 6, 382, 302, 218, 599
387, 12, 996, 352, 198, 452
387, 6, 381, 306, 232, 599
388, 12, 991, 357, 201, 448
388, 6, 390, 308, 253, 594
389, 12, 991, 353, 191, 454
389, 6, 405, 299, 251, 612
390, 12, 988, 345, 195, 465
390, 6, 466, 303, 199, 595
391, 12, 989, 331, 194, 490
391, 6, 498, 311, 173, 574
392, 12, 983, 335, 189, 485
392, 6, 531, 318, 163, 523
393, 12, 981, 333, 184, 488
393, 6, 542, 324, 153, 512
394, 12, 971, 311, 192, 529
394, 6, 552, 319, 153, 522
395, 12, 953, 322, 209, 500
395, 6, 565, 302, 147, 552
396, 12, 948, 318, 211, 507
396, 6, 578, 304, 158, 555
397, 12, 945, 323, 194, 501
397, 6, 578, 294, 183, 576
398, 12, 930, 323, 204, 501
398, 6, 599, 313, 176, 548
399, 12, 919, 315, 212, 522
399, 6, 608, 320, 181, 536
400, 12, 920, 306, 208, 541
400, 6, 612, 327, 204, 525
401, 12, 915, 316, 210, 525
401, 6, 613, 328, 206, 521
402, 12, 885, 318, 233, 519
402, 6, 627, 330, 194, 519
403, 12, 889, 314, 219, 527
403, 6, 634, 327, 211, 519
404, 12, 878, 311, 224, 534
404, 6, 654, 325, 199, 515
405, 12, 877, 313, 202, 527
405, 6, 704, 318, 149, 526
406, 12, 872, 307, 193, 536
406, 6, 717, 316, 140, 523
407, 12, 870, 303, 181, 548
407, 6, 763, 344, 129, 468
408, 12, 847, 274, 206, 613
408, 6, 779, 430, 110, 289
409, 12, 847, 279, 200, 608
409, 6, 787, 432, 102, 285
410, 12, 836, 292, 199, 579
410, 6, 787, 432, 102, 285
411, 12, 829, 301, 200, 567
411, 6, 787, 432, 102, 285
412, 12, 794, 298, 244, 577
412, 6, 787, 432, 102, 285
413, 12, 770, 321, 254, 523
413, 6, 787, 432, 102, 285
414, 12, 766, 335, 251, 495
414, 6, 787, 432, 102, 285
415, 12, 761, 344, 246, 484
415, 6, 787, 432, 102, 285
416, 12, 749, 310, 249, 571
416, 6, 787, 432, 102, 285
417, 12, 743, 303, 245, 579
417, 6, 787, 432, 102, 285
418, 12, 737, 303, 255, 576
418, 6, 787, 432, 102, 285
419, 12, 741, 295, 234, 592
419, 6, 787, 432, 102, 285
420, 12, 737, 279, 214, 605
420, 6, 911, 339, 109, 433
421, 12, 722, 273, 214, 623
421, 6, 916, 347, 107, 431
